"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2ex0FIifaRjxnIw0JdR4l5","Babel","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","1","207840","","false","0","GBUM71204553","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:7ASnSvNlUfb3MMJ96JvpkM","Whispers In the Dark","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","2","195960","","false","0","GBUM71204768","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:3kyxRga5wDGbKdmxXssbps","I Will Wait","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","3","276720","","false","0","GBUM71204769","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:0rQs4ocWqAHdcB7LtsogDx","Holland Road","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","4","253146","","false","0","GBUM71204770","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:5AjwKNp9tZfQGG7PRrpcAK","Ghosts That We Knew","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","5","339720","","false","0","GBUM71204771","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:3n9c1mgu8asYVUMXmiL8Fa","Lover of the Light","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","6","314786","","false","0","GBUM71204772","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:0Z1jSa9OzaVXERNOpH3F9J","Lovers' Eyes","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","7","321226","","false","0","GBUM71204773","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:7y0pvtDlDyxlecJkv1zkdD","Reminder","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","8","124346","","false","0","GBUM71204774","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:2MyqLgJ8Ek3ElMJlFu9G3K","Hopeless Wanderer","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","9","307853","","false","0","GBUM71204775","spotify:user:","2012-09-28T23:53:29Z"
"spotify:track:5uQ51G6vFcFH1TONfW8qmm","Broken Crown","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","spotify:album:1SKwteICgxOCIoqtCUqpR6","Babel (Deluxe Edition)","spotify:artist:3gd8FJtBJtkRxdfbTu19U2","Mumford & Sons","2012-09-21","https://i.scdn.co/image/ab67616d0000b273abe038454035190da104a2eb","1","10","256386","","false","0","GBUM71204776","spotify:user:","2012-09-28T23:53:29Z"
