"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3H2JThgdBxezwj1wwafQS8","All Girls Are The Same","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:24X4IZGu9QcQ8pVf9dFAGg","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-05-23","https://i.scdn.co/image/ab67616d0000b2739b3d16ce73080214dd7b07c7","1","2","165819","","true","0","USUG11800651","spotify:user:1234656043","2018-10-01T16:21:53Z"
"spotify:track:1QUXgI2yyMTx88kwQ8dA8Y","Werewolf Bar Mitzvah","spotify:artist:69udE1SS0NDUtbx6HKiO4r, spotify:artist:0W7nWv2YrpKKwsTJPWgJ8L","Jeff Richmond, Tracy Morgan","spotify:album:6rcW0B3FqEjG6h0V3sSZ7O","30 Rock","spotify:artist:69udE1SS0NDUtbx6HKiO4r","Jeff Richmond","2010-01-01","https://i.scdn.co/image/ab67616d0000b2737ef5d624d6987e469d355b79","1","21","172733","","false","24","US6LQ0900179","spotify:user:121406865","2018-10-01T16:23:41Z"
"spotify:track:2djdCbLj1pzRmrDNe7PkW2","High Hopes","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:3HIpXil5vBzbHi4LPz51mk","High Hopes on Saturday Night","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2018-05-23","https://i.scdn.co/image/ab67616d0000b27327b4ded7dddab94bb7b3cddd","1","1","192133","https://p.scdn.co/mp3-preview/df9d01482a9155e499c914e61a27e3d0a1318277?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USAT21801174","spotify:user:1234656043","2018-10-01T18:27:09Z"
"spotify:track:7dt6x5M1jzdTEt8oCbisTK","Better Now","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","9","231266","","true","78","USUM71805170","spotify:user:1234656043","2018-10-01T18:31:32Z"
"spotify:track:0tPQPaOKM32WgMSbPCYyRH","Dirty Sexy Money (feat. Charli XCX & French Montana)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","David Guetta, AFROJACK, Charli XCX, French Montana","spotify:album:613u1KxcevDq5Kd8j0zD2U","Dirty Sexy Money (feat. Charli XCX & French Montana)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:25uiPmTg16RbhZWAqwLBy5","David Guetta, AFROJACK, Charli XCX","2017-11-02","https://i.scdn.co/image/ab67616d0000b273657bb3660936e0d47e785dcd","1","1","172687","https://p.scdn.co/mp3-preview/90dc1e24d07a886415e382f1f5a597cf8dd4cb91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","GB28K1700061","spotify:user:1234656043","2018-10-01T18:51:17Z"
"spotify:track:22NN4BS1AlqVbyKIWExgON","Mamma Mia","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:0C36RlW2Fa0C7n1JnWBBMP","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b273d8154127a53ef0aab783f100","1","1","215266","","false","0","SEAYD7501010","spotify:user:1234656043","2018-10-01T18:53:52Z"
"spotify:track:65ES1qwOB577ZnTkizMXJJ","HUMBLE. - SKRILLEX REMIX","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","spotify:album:1X4aaOIXvs6gWtQZQpln4V","HUMBLE. (SKRILLEX REMIX)","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","2017-09-29","https://i.scdn.co/image/ab67616d0000b273bd01ceabd584855b2edd838d","1","1","156800","","true","68","USUM71710562","spotify:user:1234656043","2018-10-01T18:54:59Z"
"spotify:track:5mkGfmJGFZpwK9nA5amOhv","Sex & Candy","spotify:artist:7AQzXO3NPNQsI7oNu5rC3r","Marcy Playground","spotify:album:5dR0fhE3oveLRSUMMQ3oRB","Marcy Playground","spotify:artist:7AQzXO3NPNQsI7oNu5rC3r","Marcy Playground","1997-01-01","https://i.scdn.co/image/ab67616d0000b27337d1e5c1ca98ce1ecd754d04","1","2","173493","","false","67","USEM39600079","spotify:user:1234656043","2018-10-01T18:55:24Z"
"spotify:track:6DB2KOEwHnjkgEnBt5SdeJ","Mask Off (feat. Kendrick Lamar) - Remix","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Future, Kendrick Lamar","spotify:album:0HO6tgtGKAZTGGC7nk8dYQ","Mask Off (feat. Kendrick Lamar) [Remix]","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2017-05-23","https://i.scdn.co/image/ab67616d0000b2730cf32251bdb54d0131f2eade","1","1","257986","https://p.scdn.co/mp3-preview/09cc4a565d3320158ca09dbe7b3d2dd4429574a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USSM11704884","spotify:user:1234656043","2018-10-01T18:58:47Z"
"spotify:track:2sC2P3BN0IXujNaaSyDmtP","Blank Space","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:34OkZVpuzBa9y40DCy0LPR","1989 (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2","1","2","231826","","false","58","USCJY1431309","spotify:user:1234656043","2018-10-01T18:59:36Z"
