"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0s3nnoMeVWz3989MkNQiRf","Lucid Dreams","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:2viWIVEItaDlFH2RXWKwS7","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-05-23","https://i.scdn.co/image/ab67616d0000b273466028b14d6d0023a862e50d","1","3","239835","","true","0","USUG11800685","spotify:user:1234656043","2018-09-10T21:40:28Z"
"spotify:track:7GX5flRQZVHRAGd6B4TmDO","XO Tour Llif3","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:733e1ZfktLSwj96X5rsMeE","Luv Is Rage 2","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-08-25","https://i.scdn.co/image/ab67616d0000b27341b41e6f7924e530a9b00f9c","1","16","182706","https://p.scdn.co/mp3-preview/db1588affae2bb69ead6ce277bb128d54fa82044?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USAT21703440","spotify:user:1234656043","2018-09-10T21:00:20Z"
"spotify:track:2VdT56BGpdqNHUgOe1j5vc","Rich & Sad","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","3","206453","","true","65","USUM71805166","spotify:user:1234656043","2018-09-10T20:52:11Z"
"spotify:track:27dUo79lgLEy4Rk5w3UvSL","Guess Who's Back","spotify:artist:19KwjzvIL92r29IINtlPNP, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:0tCtGc5vt29zFZp6KXzN50","Scarface, JAY-Z, Beanie Sigel","spotify:album:5wmfZWzWjS1UARhcZSirf4","Greatest Hits","spotify:artist:19KwjzvIL92r29IINtlPNP","Scarface","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ef2675f7d33653eaa2cd7e1c","1","10","241573","","true","43","USVI21000027","spotify:user:1234656043","2018-08-16T22:27:23Z"
"spotify:track:4Q1WcYBA6h651KhNjo1gsw","Morning Song","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6NWYmlHxAME5KXtxrTlUxW","The Lumineers","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2012-04-03","https://i.scdn.co/image/ab67616d0000b27373cd0c903b9929d5ce7b26dd","1","11","316358","https://p.scdn.co/mp3-preview/2f51d259fa23d50f6b5b9f45e69b4c381f962d02?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USDMG1260811","spotify:user:1234656043","2018-07-14T04:48:04Z"
"spotify:track:2RmH5VLkfdILc6wTK1LWkH","Heavy","spotify:artist:2sNHl4oXsU0DVTy9u1otGt","Birdtalker","spotify:album:5eFydEkF3KDCwlOlMBu3KK","Heavy","spotify:artist:2sNHl4oXsU0DVTy9u1otGt","Birdtalker","2016-06-24","https://i.scdn.co/image/ab67616d0000b27314243e5ccff6b50a033dfec4","1","1","264150","https://p.scdn.co/mp3-preview/904817d038cf28bfbc3df7585e135bf6c44b8aef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCACP1604514","spotify:user:1234656043","2018-07-14T04:39:01Z"
"spotify:track:0SuLAslEMFZAXf0SwY7syi","All Time Low","spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Jon Bellion","spotify:album:2jJReDZqTuAxr4R0ItimZc","The Human Condition","spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Jon Bellion","2016-06-10","https://i.scdn.co/image/ab67616d0000b273804533fa6608d1c8d420dbeb","1","3","217603","","true","64","USUM71603666","spotify:user:1234656043","2018-05-04T00:56:17Z"
"spotify:track:1tTxt6RtTqvuSEe4gFhWO2","Charlie Boy","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6NWYmlHxAME5KXtxrTlUxW","The Lumineers","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2012-04-03","https://i.scdn.co/image/ab67616d0000b27373cd0c903b9929d5ce7b26dd","1","9","261426","https://p.scdn.co/mp3-preview/dbd18230b361d35d1e29d6933926fc99c292e87f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USDMG1260809","spotify:user:1234656043","2018-02-26T19:28:44Z"
"spotify:track:1vG6jMgSoqT3zG9tuDrL2E","Spirit Cold","spotify:artist:1OVaGC0CDZaxjcPxclSNmp","Tall Heights","spotify:album:2PaNkZV2WVwOMoRWR7V9cS","Neptune","spotify:artist:1OVaGC0CDZaxjcPxclSNmp","Tall Heights","2016-08-19","https://i.scdn.co/image/ab67616d0000b273c0bb702fdc4ad2763934a060","1","2","222293","https://p.scdn.co/mp3-preview/74a33837060c67d437a39041cbe2a3f6175e6674?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USQX91601335","spotify:user:1234656043","2018-02-20T22:52:04Z"
"spotify:track:0yTJtxZJ5VLfBEHhiNUNeY","Silvertongue","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:3PYk8e7eo2t5CA1Y3AvhaG","Home of the Strange","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2016-08-12","https://i.scdn.co/image/ab67616d0000b273e1b41f261acaa01849b42991","1","8","197426","https://p.scdn.co/mp3-preview/7654f5afc35a6091b593b45364e708b30110636d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","USAT21601323","spotify:user:1234656043","2018-02-20T22:08:20Z"
