"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3LI4MmibTkXH5cGpCGZgyw","Teenage Dirtbag","spotify:artist:4mYFgEjpQT4IKOrjOUKyXu","Wheatus","spotify:album:187HV0h26fG3mkRsySp5Lj","Songs From Dawson's Creek, Vol. II","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2000-09-29","https://i.scdn.co/image/ab67616d0000b2732dcab535e36e69ef25239dda","1","10","241840","https://p.scdn.co/mp3-preview/3c0e50fa026f82108b9c6fbe311d511990c348e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USSM10008431","spotify:user:1234656043","2017-12-23T21:14:28Z"
"spotify:track:20OrSCxQNhfAtiWtbLn3hf","Young Blood","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan","spotify:album:6k8k4QjeVI2G2gyVMeqOUF","Young Blood","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B","Noah Kahan","2017-01-27","https://i.scdn.co/image/ab67616d0000b27332d59a58e7923c0229bd7582","1","1","208853","","false","0","USUM71700342","spotify:user:1234656043","2017-12-23T21:14:39Z"
"spotify:track:42CeaId2XNlxugDvyqHfDf","Candy Paint","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:22fC2LDiA1zJgUS9ru5GP5","Candy Paint","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2017-10-20","https://i.scdn.co/image/ab67616d0000b273bf95d2beddffbdb488310f67","1","1","229573","","true","2","USUM71711842","spotify:user:1234656043","2017-12-23T21:14:52Z"
"spotify:track:2ZYBwkmtYhgUj1A7teYAZ7","Suit And Jacket","spotify:artist:3wWtfT7S2uVJJ3hGZlOLkZ","Judah & the Lion","spotify:album:7vLmY8rLjLvOTQ0wk7Hqeh","Folk Hop N' Roll (Deluxe)","spotify:artist:3wWtfT7S2uVJJ3hGZlOLkZ","Judah & the Lion","2017-03-10","https://i.scdn.co/image/ab67616d0000b2730e839871acde4e71e19c7c50","1","1","222256","","false","25","QMGSG1700002","spotify:user:1234656043","2017-12-23T21:14:58Z"
"spotify:track:4bykJp7dORR4GoLCZiQbU0","Take A Chance On Me","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:5rHIYv9tgmZjvvMOMhho2x","The Album","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1977","https://i.scdn.co/image/ab67616d0000b2731a52c421e2fbf01d5175e48e","1","2","243933","","false","0","SEAYD7702020","spotify:user:1234656043","2017-12-23T21:15:40Z"
"spotify:track:65ES1qwOB577ZnTkizMXJJ","HUMBLE. - SKRILLEX REMIX","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","spotify:album:1X4aaOIXvs6gWtQZQpln4V","HUMBLE. (SKRILLEX REMIX)","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","2017-09-29","https://i.scdn.co/image/ab67616d0000b273bd01ceabd584855b2edd838d","1","1","156800","","true","68","USUM71710562","spotify:user:1234656043","2017-12-23T21:15:54Z"
"spotify:track:1OmcAT5Y8eg5bUPv9qJT4R","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:1YCRXKLDRB0UnbrFUJ4F6e","rockstar","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2017-09-15","https://i.scdn.co/image/ab67616d0000b273d3884f06c92d826ecd87a319","1","1","218320","","true","0","USUM71710087","spotify:user:1234656043","2017-12-23T21:16:07Z"
"spotify:track:6DB2KOEwHnjkgEnBt5SdeJ","Mask Off (feat. Kendrick Lamar) - Remix","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Future, Kendrick Lamar","spotify:album:0HO6tgtGKAZTGGC7nk8dYQ","Mask Off (feat. Kendrick Lamar) [Remix]","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2017-05-23","https://i.scdn.co/image/ab67616d0000b2730cf32251bdb54d0131f2eade","1","1","257986","https://p.scdn.co/mp3-preview/09cc4a565d3320158ca09dbe7b3d2dd4429574a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","USSM11704884","spotify:user:1234656043","2017-12-23T21:16:14Z"
"spotify:track:06t9uL6peZx3SozrJn7U8a","Bottles","spotify:artist:5Ljgq0b8I3YkUwp3gtB1wm","little image","spotify:album:4fV2VWapdU62HH3wUtTcNj","Musings","spotify:artist:5Ljgq0b8I3YkUwp3gtB1wm","little image","2017-08-11","https://i.scdn.co/image/ab67616d0000b2732f55be1a043795b4c63b9044","1","2","270714","https://p.scdn.co/mp3-preview/4b80d965d63c3f62dccb75457d96809431a021bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","USDHM1713331","spotify:user:1234656043","2017-12-23T21:17:42Z"
"spotify:track:3Z3ANEnfT5iSJrNFJFHLQO","Babylon (feat. Denzel Curry)","spotify:artist:0Y0QSi6lz1bPik5Ffjr8sd, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Ekali, Denzel Curry","spotify:album:26Vmlp8XdJ4NBjfac9FAwi","Babylon (feat. Denzel Curry)","spotify:artist:0Y0QSi6lz1bPik5Ffjr8sd, spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Ekali, Denzel Curry","2017-08-18","https://i.scdn.co/image/ab67616d0000b27322d0b5213dda3c73335981f3","1","1","209538","https://p.scdn.co/mp3-preview/22ea25f4afcf13151e3a5a7aa433b103a283dfc7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","USAT21703177","spotify:user:1234656043","2017-12-23T21:17:47Z"
