"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3lh3iiiJeiBXHSZw6u0kh6","Into the Mystic - 2013 Remaster","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","spotify:album:5PfnCqRbdfIDMb1x3MPQam","Moondance","spotify:artist:44NX2ffIYHr6D4n7RaZF7A","Van Morrison","1970-02","https://i.scdn.co/image/ab67616d0000b273d828b182ee9b7193a0f8b5d6","1","5","205613","https://p.scdn.co/mp3-preview/d3530029b770fd31bade2a19a6c8450588d50302?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USWB11302507","spotify:user:1234656043","2016-10-16T02:14:54Z"
"spotify:track:7BVwi9cIzSc6tpyxsp47vJ","Mess Is Mine","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","2","223640","https://p.scdn.co/mp3-preview/0ff7e55677511098bf0e83279511cc31da07e5a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USAT21402865","spotify:user:1234656043","2016-10-16T02:21:25Z"
"spotify:track:1jyddn36UN4tVsJGtaJfem","You Are the Best Thing","spotify:artist:6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","spotify:album:2CbLBSlkvh2vR4JRLDRQso","Gossip In The Grain","spotify:artist:6DoH7ywD5BcQvjloe9OcIj","Ray LaMontagne","2008-10-13","https://i.scdn.co/image/ab67616d0000b273b73283373bf715a7e8adb87a","1","1","231840","https://p.scdn.co/mp3-preview/347eb53af6951f53635199cac6c043dea0d39cb7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRC10800485","spotify:user:1234656043","2016-10-16T03:18:11Z"
"spotify:track:6ZapsNk1ZpaebNXAIohP9R","Home","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","spotify:album:4EBtalKeisyblXwox9mMXf","Up From Below","spotify:artist:7giUHu5pv6YTZgSkxxCcgh","Edward Sharpe & The Magnetic Zeros","2009-07-14","https://i.scdn.co/image/ab67616d0000b27393769b06d10205212197060a","1","6","303200","","false","0","USVR90954206","spotify:user:1234656043","2016-10-16T03:19:29Z"
"spotify:track:3kZC0ZmFWrEHdUCmUqlvgZ","I Will Follow You into the Dark","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","spotify:album:1NFGnxmeIEBakre4DvLaJq","Plans","spotify:artist:0YrtvWJMgSdVrk3SfNjTbx","Death Cab for Cutie","2005-08-29","https://i.scdn.co/image/ab67616d0000b273c985bcc18dd81da80839e5a9","1","5","189186","https://p.scdn.co/mp3-preview/c6385e7656452a55060c9cda9500cb8a7511b27d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USAT20504677","spotify:user:1234656043","2016-10-16T03:26:35Z"
"spotify:track:2OtVlMgKCWgrIq05wyWzMQ","Into the Wild - EP Version","spotify:artist:0J7U24vlOOIeMpuaO6Q85A","LP","spotify:album:6sxKh5awgu9ehtTEByPGMA","Into the Wild","spotify:artist:0J7U24vlOOIeMpuaO6Q85A","LP","2012-05-29","https://i.scdn.co/image/ab67616d0000b273c76191bc794391e792009e1a","1","1","233960","https://p.scdn.co/mp3-preview/af7b01a07ea57a12c2fe441a684662b4dfc88116?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USWB11200589","spotify:user:1234656043","2016-12-02T18:03:14Z"
"spotify:track:0jWgAnTrNZmOGmqgvHhZEm","What's Up?","spotify:artist:0Je74SitssvJg1w4Ra2EK7","4 Non Blondes","spotify:album:2P8M5eo4zWFD0JJtH4D0iA","Bigger, Better, Faster, More !","spotify:artist:0Je74SitssvJg1w4Ra2EK7","4 Non Blondes","1992-01-01","https://i.scdn.co/image/ab67616d0000b273381371cb8ce680d0dc324600","1","3","295533","","false","77","USIR19200553","spotify:user:1234656043","2016-12-02T18:05:03Z"
"spotify:track:1qDrWA6lyx8cLECdZE7TV7","Somebody That I Used To Know","spotify:artist:2AsusXITU8P25dlRNhcAbG, spotify:artist:6hk7Yq1DU9QcCCrz9uc0Ti","Gotye, Kimbra","spotify:album:4G2rJNhsKOE6iHgtUqZ0Ye","Making Mirrors","spotify:artist:2AsusXITU8P25dlRNhcAbG","Gotye","2011-01-01","https://i.scdn.co/image/ab67616d0000b2738ac5768205ad97df3f4f4c0e","1","3","244884","","false","76","AUZS21100040","spotify:user:1234656043","2016-12-02T18:09:44Z"
"spotify:track:7FJoWBYWpf7MEYFzVTYzJz","1997","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:4pcJSRECNse1zsyxHzhhgf","Voyeur","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2012-07-10","https://i.scdn.co/image/ab67616d0000b273669d255f4d553fbbd0c62e8e","1","5","257293","","false","0","USQY51274626","spotify:user:1234656043","2016-12-02T18:13:24Z"
"spotify:track:4AhDQVLh8Kp2X8LLIKPhjN","Dreamlike","spotify:artist:4rs1K6gDzLY5VnCMSC80o7","Vacationer","spotify:album:1cNM5pcLekB3xraNAkjHLj","Gone","spotify:artist:4rs1K6gDzLY5VnCMSC80o7","Vacationer","2012-03-20","https://i.scdn.co/image/ab67616d0000b273058fbbcccbc71cb62663ecc5","1","4","227133","","false","0","USCJ81100791","spotify:user:1234656043","2016-12-02T18:13:46Z"
