"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5k4BKf4QPx2aGvtVQzb8Ek","Carnival of the Animals: VII. Aquarium (From the Movie ""Harry Potter"")","spotify:artist:2MwvnjMYeZNj4eOGqtJk4L, spotify:artist:0FdIrbxyQYeuyNUJy80qbW","Pro Musica Orchestra\, Vienna, Ferdinand Roth","spotify:album:0l1AzQXlDXN6eNuMWfE0rz","Scary and Horror Music for Your Halloween Party","spotify:artist:4OfDxabDQVhfThUuSS19za, spotify:artist:5C42n0qm7ELXsFdtre0e5q, spotify:artist:6MFuXk9n7iZreVFl6MUo3h","Halloween Music, Halloween Party Album Singers, Halloween Kids","2016-10-28","https://i.scdn.co/image/ab67616d0000b2733a816e61d0409090c4b1c3b9","1","3","147400","","false","0","DEA580800100","spotify:user:1234656043","2018-10-28T18:59:09Z"
"spotify:track:0AQquaENerGps8BQmbPw14","Big Iron","spotify:artist:0Xi59sEw38vRvwleSAVqoo","Marty Robbins","spotify:album:3kQpBS26lAj0A0VGl1snRl","Gunfighter Ballads And Trail Songs","spotify:artist:0Xi59sEw38vRvwleSAVqoo","Marty Robbins","1959","https://i.scdn.co/image/ab67616d0000b273084051346f432cc68a1279cd","1","1","235733","https://p.scdn.co/mp3-preview/677e9762daaa74150d4b60690f9b22d8ee437b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USSM15901193","spotify:user:1234656043","2018-12-17T23:01:57Z"
"spotify:track:4JT93N55PS7zFH4UJzGSFd","Awakening - Original Mix","spotify:artist:0E0ivMqE46es37c7KWhBX6","The Global Phase","spotify:album:3vufr2wQoeJIoPcEA6oqJb","HouseBeat 6","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-11-13","https://i.scdn.co/image/ab67616d0000b273ed8641bd3fe1e773163aaae0","1","7","283867","https://p.scdn.co/mp3-preview/3bce13179f9ca75def3217013f9eb871b8dce389?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","RUA491312399","spotify:user:1234656043","2018-12-18T00:51:07Z"
"spotify:track:4xgNiImcKslZZNTPgbibHr","Awakening (Original Chorus Mix)","spotify:artist:1V1uWJvLjUEXrJY89jilz5","VARGO","spotify:album:1bhRr8Mrmg218j7ulAJLcH","Ibiza Beats Volume 7 (Sunset Chill & Beach Lounge)","spotify:artist:7xxIvl7TsBMXAhziL1l7sY","Ibiza Beats","2014","https://i.scdn.co/image/ab67616d0000b27320e9041559928d6f0d1ca8ea","1","6","245893","","false","0","DE-GX6-12-00031","spotify:user:1234656043","2019-04-16T23:29:15Z"
"spotify:track:5f7xhFUIoaAnN7eBo16Oc1","Clap Back","spotify:artist:5cXh02p6z1huuRo7CGZfxo","Nick F.M","spotify:album:4Rx66NsSfkMdVAxfYDKQfw","Handcrafted Vol. 1","spotify:artist:5cXh02p6z1huuRo7CGZfxo","Nick F.M","2018-05-05","https://i.scdn.co/image/ab67616d0000b273d5bef9704b805794a6d00b9f","1","31","181894","https://p.scdn.co/mp3-preview/1083162990d8306027da027253fbfc5a50000d1b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","usdy41853488","spotify:user:1234656043","2019-05-28T22:51:13Z"
"spotify:track:41ngfIhPv1DkwHozVjH5Yc","Florida Rain Storm","spotify:artist:4lrOh2SR7H3guHky2lAYOk","Mother Nature Sound FX","spotify:album:47aFId4LZv1BI9UZEpzbpx","Thunderstorms","spotify:artist:4lrOh2SR7H3guHky2lAYOk","Mother Nature Sound FX","2017-01-09","https://i.scdn.co/image/ab67616d0000b2735f197263e07c811a8836f8a3","1","1","175313","https://p.scdn.co/mp3-preview/64235a9a262f6c3086f20810f385c585a28b8c56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","SE5IB1600638","spotify:user:1234656043","2019-06-05T13:07:18Z"
"spotify:track:3wC89z1SupmN3ZjHjLC4Rc","Please Don't Leave Me Alone","spotify:artist:6dGGfxEl1ZdFPgpFttltnr","Cemi","spotify:album:6iRosfRx9pS25SDsRR1oeF","Cemi","spotify:artist:6dGGfxEl1ZdFPgpFttltnr","Cemi","2017-01-01","https://i.scdn.co/image/ab67616d0000b27360d428aab3dab906558a1121","1","8","298332","","false","0","GBSMU3803271","spotify:user:1234656043","2019-06-19T01:15:41Z"
"spotify:track:0bPnT6i9H1p8Vd85GS6Z7I","Night Shift","spotify:artist:4MoAOfV4ROWofLG3a3hhBN","Jon Pardi","spotify:album:1DTBcVfk3zXPHRmgpY6rFZ","California Sunrise","spotify:artist:4MoAOfV4ROWofLG3a3hhBN","Jon Pardi","2016-05-13","https://i.scdn.co/image/ab67616d0000b27314d09c1ad67f2028764ee0f4","1","4","172253","","false","71","USUM71601617","spotify:user:1234656043","2019-08-08T01:33:39Z"
"spotify:track:2UjYOBJHAoEfJqUVhfpnQn","The Bonnie Banks of Loch Lomond - Essential Mix","spotify:artist:2TSk0YFp7kixz4ggYNyZSH","Angela Cameron","spotify:album:27c821FkU911ufLmDNJHeM","Essential Scotland, Vol. 17","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2015-06-17","https://i.scdn.co/image/ab67616d0000b2736bc77fa3ff9b2c777252066e","1","1","160996","https://p.scdn.co/mp3-preview/60c580c513ea86fbfa2c7fcbaf1e282834876187?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USQY51576461","spotify:user:1234656043","2020-02-28T01:12:06Z"
"spotify:track:3ygMNzTlytWlHsynGAWvZ7","Boss Mode","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","spotify:album:3isR1GYMYEQhDv8DrzYjAI","Abandon Ship","spotify:artist:2DuJi13MWHjRHrqRUwk8vH","Knife Party","2014-11-04","https://i.scdn.co/image/ab67616d0000b273a43f836bf07d73744d652d7f","1","3","227280","https://p.scdn.co/mp3-preview/6325f9c689c638896c6aaf72922c39b2de42e716?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBAHT1400360","spotify:user:1234656043","2020-07-11T18:12:10Z"
