"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:5xNuL3RZuJqZe0MExYk1A0","Love Lust","spotify:artist:6QKDcdjtwqu4E7rztEUQu5","King Charles","spotify:album:2ly22thkCb7qBerT9ynaDA","Mississippi Isabel","spotify:artist:6QKDcdjtwqu4E7rztEUQu5","King Charles","2011-01-01","https://i.scdn.co/image/ab67616d0000b2735ee3522959d26c6470078fc4","1","2","178426","","false","0","USUM71119686","spotify:user:","2012-06-27T21:36:42Z"
"spotify:track:3nQuDlaVZApyrG6tdsETe0","Valerie","spotify:artist:5gxynDEKwNDgxGJmJjZyte","Steve Winwood","spotify:album:67GJ1YfGLgqvcxifvKyOBU","Talking Back To The Night","spotify:artist:5gxynDEKwNDgxGJmJjZyte","Steve Winwood","1982-01-01","https://i.scdn.co/image/ab67616d0000b273fec03d54fc5d55a8314749e2","1","1","246666","","false","0","GBAAN8200002","spotify:user:","2012-06-29T23:54:01Z"
"spotify:track:0uZ0orE84drZZzPKxCWSmR","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4bxl07W8OBOP5PBXI5uhs6","Into The Woods","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2011-01-01","https://i.scdn.co/image/ab67616d0000b273ed034ce9c8c4bf2e5f997888","1","1","267693","","false","0","USUM71119106","spotify:user:","2012-06-30T12:41:06Z"
"spotify:track:197IjFuW5x1q3VazxmWQJQ","Shake, Shake, Shake","spotify:artist:2ic4xySjQ39N7DJ0HZemeG","Bronze Radio Return","spotify:album:4T56NnPsWvFAcpJWyPAJa1","Shake! Shake! Shake!","spotify:artist:2ic4xySjQ39N7DJ0HZemeG","Bronze Radio Return","2011-03-29","https://i.scdn.co/image/ab67616d0000b273f75d6efca428ce87ae89a014","1","3","163236","","false","0","USLTY1100003","spotify:user:","2012-06-30T12:49:52Z"
"spotify:track:6qmGRsbGzT1xme0Oyf8Vqq","Bad Things","spotify:artist:47DQBkDU2VieRG0aJUcPJs","Jace Everett","spotify:album:5YuENgTRrnvsH0tpx8ldbJ","Old New Borrowed Blues","spotify:artist:47DQBkDU2VieRG0aJUcPJs","Jace Everett","2008-12-01","https://i.scdn.co/image/ab67616d0000b2733b36eb615228b15935c38a37","1","3","190720","https://p.scdn.co/mp3-preview/aa0e1ce988f28b7906ce46ba35a6452c8ec6b61c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","USEEA0700003","spotify:user:","2012-06-30T14:01:21Z"
"spotify:track:0WNLM6pkqpDgsIQJi1OSux","Je veux te voir","spotify:artist:0WbqAlM1WvfUD6dF7omThd","Yelle","spotify:album:3Rf6EPWSGeE46aAoBDmx4E","Je Veux Te Voir [Remixes 2008]","spotify:artist:0WbqAlM1WvfUD6dF7omThd","Yelle","2008-05-23","https://i.scdn.co/image/ab67616d0000b273f69dc43d7656664efe1edc2c","1","2","261253","https://p.scdn.co/mp3-preview/687c3c4abebdd277f0f25bbc78569c06716acdde?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","FRZ110600667","spotify:user:","2012-06-30T15:46:33Z"
"spotify:track:2KjJhGtseXQBI5Cg6ZZdc9","Ce jeu","spotify:artist:0WbqAlM1WvfUD6dF7omThd","Yelle","spotify:album:2UiP7sGjSxl52QtlWAXYVy","Pop Up","spotify:artist:0WbqAlM1WvfUD6dF7omThd","Yelle","2007-08-31","https://i.scdn.co/image/ab67616d0000b2735da1104c8104431eb16f831c","1","1","222600","https://p.scdn.co/mp3-preview/cee840cc40ecb50d457cb19da49ad96216e660df?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","FRZ110701298","spotify:user:","2012-06-30T15:46:36Z"
"spotify:track:2OtVlMgKCWgrIq05wyWzMQ","Into the Wild - EP Version","spotify:artist:0J7U24vlOOIeMpuaO6Q85A","LP","spotify:album:6sxKh5awgu9ehtTEByPGMA","Into the Wild","spotify:artist:0J7U24vlOOIeMpuaO6Q85A","LP","2012-05-29","https://i.scdn.co/image/ab67616d0000b273c76191bc794391e792009e1a","1","1","233960","https://p.scdn.co/mp3-preview/af7b01a07ea57a12c2fe441a684662b4dfc88116?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USWB11200589","spotify:user:","2012-06-30T17:32:43Z"
"spotify:track:04jihwTdHI7i1HsiutwNcB","The Sun Ain't Shining No More","spotify:artist:68g1s6VqLLLBI3tXR0Bb7C","The Asteroids Galaxy Tour","spotify:album:4HDg3fSXXw4ma8OzsRoGcD","Fruit","spotify:artist:68g1s6VqLLLBI3tXR0Bb7C","The Asteroids Galaxy Tour","2009-10-26","https://i.scdn.co/image/ab67616d0000b273a2dbac0da49800d25054df75","1","2","217760","","false","0","GBWRR0800028","spotify:user:","2012-06-30T19:03:30Z"
"spotify:track:2aW9GjctURzw8Yt7BC3wJY","Be Good (RAC Remix)","spotify:artist:3wyfo3svXNWnszGAEVey11","Tokyo Police Club","spotify:album:3XGIrYNQtRPxDiNtUjoEdl","Smith","spotify:artist:3wyfo3svXNWnszGAEVey11","Tokyo Police Club","2007-10-30","https://i.scdn.co/image/ab67616d0000b27354541e1b80b2dc1c4a254999","1","4","165986","https://p.scdn.co/mp3-preview/52ef99a665dd62c99cb60874b572c2a6407ebaa8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","CAP430700219","spotify:user:","2012-07-05T03:23:46Z"
