"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:2tUBqZG2AbRi7Q0BIrVrEj","I Wanna Dance with Somebody (Who Loves Me)","spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Whitney Houston","spotify:album:5Vdzprr5cOqXQo44eHeV7t","Whitney","spotify:artist:6XpaIBNiVzIetEPCWDvAFP","Whitney Houston","1987-06-02","https://i.scdn.co/image/ab67616d0000b273cc57e9b00b87dd0f6e868347","1","1","291293","https://p.scdn.co/mp3-preview/448562dd10acb00c5429670e6f231385a07e2921?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USAR18700121","spotify:user:1234656043","2016-12-02T17:31:30Z"
"spotify:track:373zqV0VLz9mnrSaY9kaiX","Isn't She Lovely","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:0BBWJ3L9fhkmNLdt4zs4fu","Songs In The Key Of Life (Reissue)","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","1976-09-28","https://i.scdn.co/image/ab67616d0000b273b152cf640e96d1d6cf4e17a7","2","1","394266","","false","0","USMO17682655","spotify:user:1234656043","2016-12-02T17:32:30Z"
"spotify:track:2dlEdDEmuQsrcXaAL3Znzi","You Make My Dreams (Come True)","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:0gCDvloPR42pZRZhmbGYVI","The Essential Daryl Hall & John Oates","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","2005-04-25","https://i.scdn.co/image/ab67616d0000b273e49b4b79f376c0bc6e0c079b","1","15","190706","https://p.scdn.co/mp3-preview/8fecc5f6a28f0190173fed765b136f41e7dff551?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRC10301828","spotify:user:1234656043","2016-12-02T17:39:13Z"
"spotify:track:2bXquoyGi31xo54X4SgZ3A","God Only Knows","spotify:artist:3oDbviiivRWhXwIE8hxkVV","The Beach Boys","spotify:album:4HUntZg0YV0qCvRxmIhq2U","Boogie Nights / Music From The Original Motion Picture","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","1997-01-01","https://i.scdn.co/image/ab67616d0000b273a4a3752f48cf0bb54e1dffc1","1","12","168760","","false","25","USCA28600056","spotify:user:1234656043","2016-12-02T17:40:53Z"
"spotify:track:3CAKKNfb2EIrw2zQZmgD3G","Signed, Sealed, Delivered (I'm Yours)","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:21s1USjtAKu8YcswA64iQX","The Definitive Collection","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","2002-10-29","https://i.scdn.co/image/ab67616d0000b273cd11b8016da8ac8aea227574","1","7","159600","","false","0","FRZ029400710","spotify:user:1234656043","2016-12-02T17:33:53Z"
"spotify:track:6ft9PAgNOjmZ2kFVP7LGqb","Can't Take My Eyes off You","spotify:artist:3CDKmzJu6uwEGnPLLZffpD","Frankie Valli","spotify:album:0NUEQILaBzavnzcMEs4buZ","The Very Best of Frankie Valli & The 4 Seasons","spotify:artist:6mcrZQmgzFGRWf7C0SObou","Frankie Valli & The Four Seasons","2003-01-14","https://i.scdn.co/image/ab67616d0000b273b96c21e15c091eb98a6c88a4","1","15","203240","https://p.scdn.co/mp3-preview/f660d64b1796097a0376c6a9a25f10f5e3ba5405?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USRH10175215","spotify:user:1234656043","2016-12-02T17:49:31Z"
"spotify:track:6Qj1WXW41Mn3Fh9V2sHphM","On Top Of The World","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:6htgf3qv7vGcsdxLCDxKp8","Night Visions","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a","1","5","189840","","false","54","USUM71201073","spotify:user:1234656043","2016-12-02T18:18:36Z"
"spotify:track:1hh3iFX5vVsiD9LMwUlQeh","Dixieland Delight - Single Edit","spotify:artist:6rJqqRce0Kvo2dJUXoHleC","Alabama","spotify:album:1DE97Q1jJABKEbOi8CzLSu","The Essential Alabama","spotify:artist:6rJqqRce0Kvo2dJUXoHleC","Alabama","2005-05-17","https://i.scdn.co/image/ab67616d0000b2737fd441f034d4c4e78cb9b411","1","12","236426","","false","1","USRN19600091","spotify:user:jelkourie","2016-12-20T19:42:59Z"
"spotify:track:2ZNTPtYmAhN9vCwnAgqKn1","Shout, Pts. 1 & 2","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","spotify:album:3TU9a0ngwVYr7YRe5fJPVH","Shout!","spotify:artist:53QzNeFpzAaXYnrDBbDrIp","The Isley Brothers","1959-08-21","https://i.scdn.co/image/ab67616d0000b273f9ddaa9b3da1cd7275626987","1","11","268560","https://p.scdn.co/mp3-preview/c7ce613365adf247bb865c0741ae742cb988d43e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USRC15903415","spotify:user:jelkourie","2016-12-20T19:44:20Z"
"spotify:track:6SKwQghsR8AISlxhcwyA9R","Marry You","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","spotify:album:6J84szYCnMfzEcvIcfWMFL","Doo-Wops & Hooligans","spotify:artist:0du5cEVh5yTK9QJze8zA0C","Bruno Mars","2010-10-05","https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0","1","6","230192","https://p.scdn.co/mp3-preview/074af8aafe541039cd9f47b2fa4a405dee20d3da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21001887","spotify:user:jelkourie","2016-12-20T19:45:37Z"
"spotify:track:79dKGYkbdcDsWwc7oYtkfg","Go Daddy O","spotify:artist:6ROyXB8NDG0fA78S46JdTB","Big Bad Voodoo Daddy","spotify:album:4ZM8LWyvXPmWhiY8fPI3Dm","Best Of/20th Century","spotify:artist:6ROyXB8NDG0fA78S46JdTB","Big Bad Voodoo Daddy","2005-01-01","https://i.scdn.co/image/ab67616d0000b273cb71ecce0e17c36b4168cee9","1","7","193533","","false","13","USEM39700081","spotify:user:jelkourie","2016-12-20T20:07:11Z"
"spotify:track:2aksifNn5ph8igDOkPBA02","Love On The Brain","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3Q149ZH46Z0f3oDR7vlDYV","ANTI","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2016-01-28","https://i.scdn.co/image/ab67616d0000b27333de8537b313380d4f4c3ca6","1","11","224000","","true","0","QM5FT1600120","spotify:user:jelkourie","2016-12-20T20:07:16Z"
"spotify:track:3U4isOIWM3VvDubwSI3y7a","All of Me","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","spotify:album:4OTAx9un4e6NfoHuVRiOrC","Love In The Future (Expanded Edition)","spotify:artist:5y2Xq6xcjJb2jVM54GHK3t","John Legend","2013-08-30","https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78","1","6","269560","https://p.scdn.co/mp3-preview/b2d0578692c6852a404c89a9d1f8e66c66924417?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USSM11303954","spotify:user:jelkourie","2018-10-05T16:53:47Z"
"spotify:track:6jG2YzhxptolDzLHTGLt7S","Drunk in Love (feat. Jay-Z)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","Beyoncé, JAY-Z","spotify:album:2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2014-11-24","https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3","1","3","323480","https://p.scdn.co/mp3-preview/9fdb403ae6f7e39d07afb6f72f325af29908f8ce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USSM11307800","spotify:user:jelkourie","2018-10-05T16:55:11Z"
"spotify:track:7I2amOVnwKIZj0tXz6Lz3E","Flawless Remix (feat. Nicki Minaj)","spotify:artist:6vWDO969PvNqNYHIOW5v0m, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Beyoncé, Nicki Minaj","spotify:album:6KPiNRUaPSuFVes2xEUjYk","BEYONCÉ [Platinum Edition]","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2014-11-24","https://i.scdn.co/image/ab67616d0000b27322d8baf4fd59898b5b5da81c","2","2","234666","https://p.scdn.co/mp3-preview/97e74d905b5ce6c8671dab69c0b1ffdcaa645f4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","USSM11406085","spotify:user:jelkourie","2018-10-05T17:26:49Z"
