"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3fpVWegR6YOS1Yk5HSMYIq","Paranoid","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","1","221786","","false","63","USUM71710835","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:4imb1WyAH4mnE5o7kwW2R4","Undo","spotify:artist:5eIbEEQnDM8yuDVB0bimSP, spotify:artist:3KV3p5EY4AvKxOlhGHORLg, spotify:artist:2jku7tDXc6XoB6MO2hFuqg","RL Grime, Jeremih, Tory Lanez","spotify:album:6oDCienE2AdvV9izzrXs0A","Undo","spotify:artist:5eIbEEQnDM8yuDVB0bimSP","RL Grime","2018-06-13","https://i.scdn.co/image/ab67616d0000b273db25dcd506650a0e16eb0fcd","1","1","208695","https://p.scdn.co/mp3-preview/56bbbc4f6805a81d30066b20519c9317e5787485?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","QMUY41800056","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:1rqqCSm0Qe4I9rUvWncaom","High Hopes","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","spotify:album:6ApYSpXF8GxZAgBTHDzYge","Pray for the Wicked","spotify:artist:20JZFwl6HVl6yg8a4H3ZqK","Panic! At The Disco","2018-06-22","https://i.scdn.co/image/ab67616d0000b273c5148520a59be191eea16989","1","4","190946","https://p.scdn.co/mp3-preview/df9d01482a9155e499c914e61a27e3d0a1318277?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USAT21801174","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:10Igtw8bSDyyFs7KIsKngZ","Freaky Friday (feat. Chris Brown)","spotify:artist:1tqhsYv8yBBdwANFNzHtcr, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Lil Dicky, Chris Brown","spotify:album:1XbNDGybI1iPfeQNJEeUdn","Freaky Friday (feat. Chris Brown)","spotify:artist:1tqhsYv8yBBdwANFNzHtcr, spotify:artist:7bXgB6jMjp9ATFy66eO08Z","Lil Dicky, Chris Brown","2018-03-15","https://i.scdn.co/image/ab67616d0000b273f1115552efd25fa498ec923a","1","1","216631","https://p.scdn.co/mp3-preview/0dcfb40f74f45bc7b5c852048c9141719dcc55e0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","QMRSZ1800280","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:65ES1qwOB577ZnTkizMXJJ","HUMBLE. - SKRILLEX REMIX","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","spotify:album:1X4aaOIXvs6gWtQZQpln4V","HUMBLE. (SKRILLEX REMIX)","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Skrillex, Kendrick Lamar","2017-09-29","https://i.scdn.co/image/ab67616d0000b273bd01ceabd584855b2edd838d","1","1","156800","","true","68","USUM71710562","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:2w7O4XCRoIJrwF1NqKL9TM","Take It All Back 2.0","spotify:artist:3wWtfT7S2uVJJ3hGZlOLkZ","Judah & the Lion","spotify:album:7vLmY8rLjLvOTQ0wk7Hqeh","Folk Hop N' Roll (Deluxe)","spotify:artist:3wWtfT7S2uVJJ3hGZlOLkZ","Judah & the Lion","2017-03-10","https://i.scdn.co/image/ab67616d0000b2730e839871acde4e71e19c7c50","1","5","218355","","false","26","QMGSG1600004","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:0BLaMt13XVMgdJth85U9Lo","Someone New","spotify:artist:26fAgSvQl82rjfl9yP4uqH","Yøuth","spotify:album:4izScx5MWR1sWCIo0gm6au","Blame","spotify:artist:26fAgSvQl82rjfl9yP4uqH","Yøuth","2017-10-27","https://i.scdn.co/image/ab67616d0000b2738167f875057adbce3cd75e25","1","5","249359","https://p.scdn.co/mp3-preview/d760bbcd05a186644a37a3839581d7c9f8b00164?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","TCADH1756140","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:0tPQPaOKM32WgMSbPCYyRH","Dirty Sexy Money (feat. Charli XCX & French Montana)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","David Guetta, AFROJACK, Charli XCX, French Montana","spotify:album:613u1KxcevDq5Kd8j0zD2U","Dirty Sexy Money (feat. Charli XCX & French Montana)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:25uiPmTg16RbhZWAqwLBy5","David Guetta, AFROJACK, Charli XCX","2017-11-02","https://i.scdn.co/image/ab67616d0000b273657bb3660936e0d47e785dcd","1","1","172687","https://p.scdn.co/mp3-preview/90dc1e24d07a886415e382f1f5a597cf8dd4cb91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","GB28K1700061","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:60SdxE8apGAxMiRrpbmLY0","Lucky You (feat. Joyner Lucas)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:6C1ohJrd5VydigQtaGy5Wa","Eminem, Joyner Lucas","spotify:album:3HNnxK7NgLXbDoxRZxNWiR","Kamikaze","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR","Eminem","2018-08-31","https://i.scdn.co/image/ab67616d0000b273e4073def0c03a91e3fceaf73","1","3","244679","","true","72","USUM71813334","spotify:user:","2018-12-24T12:31:33Z"
"spotify:track:2sC2P3BN0IXujNaaSyDmtP","Blank Space","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:34OkZVpuzBa9y40DCy0LPR","1989 (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2014-10-27","https://i.scdn.co/image/ab67616d0000b273332d85510aba3eb28312cfb2","1","2","231826","","false","58","USCJY1431309","spotify:user:","2018-12-24T12:31:33Z"
